decoy_num  name           sasa        sasa_without sugar  delta_sasa
1	1188.pdb	8111.3187889	7237.70960622	873.609182674
2	1794.pdb	8132.93883393	7206.74871417	926.190119759
3	286.pdb		8173.45864607	7238.87642476	934.582221308
4	314.pdb		8319.49316814	7230.51373007	1088.97943807
5	35.pdb		8285.12663451	7230.58652969	1054.54010482
6	398.pdb		8310.3890188	7239.15838464	1071.23063416
7	442.pdb		8205.45511566	7205.59955061	999.855565049
8	468.pdb		8348.69491569	7249.85227295	1098.84264274
9	534.pdb		8320.09899131	7219.51268708	1100.58630423
10	3763.pdb	8296.53741099	7224.27129238	1072.26611861

	start pose      8186.92952387   7242.26306164
